GEOID,district
17031030101,22
17031030701,19
17031070103,33
17031807900,34
17031808001,24
17031808002,24
17031841200,6
17031831900,13
17031832600,33
17031836900,44
17031842300,33
17031839500,4
17031835800,4
17031838800,16
17031843400,42
17031842600,4
17031841900,6
17031843200,6
17031301803,42
17031320101,26
17031330103,23
17031380600,4
17031330102,23
17031330101,23
17031460800,15
17031630600,42
17031490200,15
17031612200,4
17031844700,1
17031844600,4
17031320102,7
17031730202,9
17031220701,14
17031063302,43
17031252201,10
17031660302,21
17031660301,21
17031835600,29
17031840000,4
17031813302,10
17031836400,17
17031836100,17
17031834600,29
17031843600,17
17031061902,43
17031030102,22
17031030103,22
17031030706,19
17031030601,19
17031081202,26
17031063303,43
17031836000,17
17031220901,14
17031210602,14
17031220602,14
17031220601,14
17031040401,30
17031252202,10
17031252102,10
17031836300,17
17031834500,29
17031836200,29
17031010501,22
17031020701,31
17031833900,15
17031834400,29
17031834300,15
17031070101,43
17031110501,39
17031030104,22
17031081401,26
17031430102,38
17031770902,11
17031430101,38
17031252101,10
17031010201,22
17031760801,11
17031839000,26
17031440201,15
17031540101,0
17031834000,37
17031711100,9
17031711200,12
17031711500,9
17031270500,1
17031680900,9
17031221000,14
17031221100,14
17031242800,41
17031242900,41
17031243000,41
17031243100,41
17031243200,41
17031243300,41
17031243400,41
17031071400,33
17031110400,25
17031150600,25
17031150700,39
17031150800,39
17031151100,39
17031151200,20
17031241500,33
17031241100,40
17031241600,41
17031241300,41
17031241400,41
17031243500,41
17031250200,2
17031250300,20
17031250400,20
17031250500,27
17031071500,33
17031071800,33
17031080100,33
17031080300,33
17031080400,7
17031160100,39
17031160200,39
17031160300,35
17031160400,35
17031160700,14
17031221300,40
17031221500,40
17031221400,40
17031250600,10
17031250700,10
17031250800,2
17031251000,2
17031251100,2
17031051400,13
17031060100,19
17031060300,13
17031060800,43
17031160800,14
17031160900,35
17031161000,35
17031161100,39
17031161200,39
17031161300,39
17031170100,25
17031221600,40
17031242100,41
17031242000,41
17031251200,10
17031251300,10
17031051300,13
17031600700,5
17031600900,5
17031821200,0
17031672000,12
17031710900,9
17031711000,9
17031711300,9
17031711400,9
17031271200,44
17031271300,44
17031271400,44
17031350100,23
17031350400,23
17031351000,4
17031351400,4
17031360200,4
17031430400,29
17031430600,38
17031430800,38
17031430500,38
17031430900,29
17031610300,5
17031681000,29
17031681100,9
17031680500,29
17031810000,22
17031720100,32
17031720200,32
17031720300,32
17031720400,32
17031720500,32
17031720600,32
17031720700,37
17031040600,30
17031040700,34
17031040800,34
17031825801,0
17031380100,4
17031380200,4
17031431200,38
17031431400,38
17031810200,22
17031810301,24
17031050100,30
17031610800,4
17031611300,5
17031611400,21
17031611500,21
17031611900,4
17031681200,9
17031810400,11
17031810701,27
17031810702,27
17031810600,25
17031381200,17
17031381400,17
17031283100,41
17031283800,6
17031691200,9
17031691100,9
17031730100,37
17031730300,9
17031730400,9
17031730500,37
17031730600,37
17031440300,15
17031810800,3
17031810900,27
17031612000,29
17031612100,29
17031620100,42
17031620200,8
17031620300,8
17031620400,8
17031810501,3
17031810502,3
17031812200,20
17031730700,37
17031740100,32
17031740200,32
17031740300,32
17031740400,32
17031381800,17
17031381900,17
17031390100,17
17031390200,17
17031390300,17
17031390400,17
17031390500,17
17031390600,17
17031390700,17
17031812500,10
17031440600,9
17031440900,15
17031440700,15
17031440800,15
17031630300,42
17031630500,42
17031630800,21
17031630900,8
17031640100,8
17031640300,36
17031750100,37
17031750200,0
17031750300,32
17031750400,32
17031750500,0
17031282700,6
17031282800,6
17031400300,29
17031400500,29
17031400800,29
17031410100,17
17031410500,17
17031410600,17
17031460100,15
17031450300,15
17031460200,15
17031640400,36
17031640500,36
17031640600,28
17031640700,28
17031640800,28
17031650100,21
17031650200,8
17031750600,37
17031812600,10
17031820300,36
17031820400,36
17031820902,28
17031410700,17
17031410800,17
17031410900,17
17031411000,17
17031411100,17
17031411200,29
17031460400,15
17031460500,15
17031461000,15
17031813000,10
17031813100,10
17031821102,12
17031561000,36
17031100200,18
17031020200,24
17031420100,17
17031420200,29
17031420400,29
17031420700,29
17031805402,18
17031420800,29
17031470100,15
17031480100,15
17031480200,15
17031480300,16
17031480400,16
17031805502,18
17031805600,11
17031650400,28
17031650500,28
17031660400,21
17031821401,0
17031805702,11
17031821402,0
17031821600,32
17031821700,32
17031290900,1
17031291200,1
17031421200,29
17031271500,44
17031292200,1
17031292400,1
17031292500,1
17031271800,1
17031280100,7
17031280400,41
17031300600,42
17031300700,1
17031301100,6
17031301200,6
17031480500,15
17031490500,16
17031520200,16
17031520300,16
17031520400,16
17031520500,16
17031520600,16
17031660500,21
17031660600,21
17031660700,21
17031660800,21
17031660900,12
17031661000,12
17031280900,41
17031301600,42
17031490600,16
17031490700,37
17031490800,16
17031491000,37
17031491100,37
17031530200,0
17031530300,0
17031530400,0
17031530600,0
17031560100,42
17031670200,4
17031670300,21
17031670400,21
17031661100,12
17031670100,4
17031670600,12
17031670800,29
17031670900,29
17031260900,1
17031261000,10
17031281900,7
17031310200,6
17031310300,6
17031310400,6
17031310500,6
17031491200,37
17031491300,37
17031491400,16
17031500100,16
17031500200,16
17031500300,16
17031560200,8
17031560300,8
17031560700,8
17031560800,8
17031560900,36
17031010300,22
17031010400,22
17031010600,22
17031020100,22
17031280800,41
17031420300,29
17031130200,34
17031240200,33
17031611800,4
17031030300,30
17031030400,30
17031020400,22
17031080202,33
17031060200,19
17031221200,14
17031826500,0
17031061200,19
17031030200,22
17031030900,30
17031031000,30
17031600600,23
17031811900,20
17031420600,29
17031110100,39
17031031400,19
17031040900,13
17031050200,13
17031050300,13
17031811600,3
17031031700,30
17031610400,5
17031050600,13
17031071700,33
17031031800,30
17031050500,13
17031071600,33
17031671400,21
17031062300,13
17031630400,42
17031010100,22
17031822802,32
17031680600,29
17031807800,34
17031811100,27
17031030500,19
17031171100,20
17031180100,27
17031251900,10
17031020500,31
17031081300,26
17031081000,7
17031130100,24
17031170200,25
17031170300,25
17031170400,3
17031170500,3
17031170600,27
17031170700,3
17031170800,3
17031251400,10
17031260300,44
17031260500,10
17031260600,44
17031260700,10
17031260800,1
17031050700,13
17031050900,13
17031051000,13
17031051100,13
17031051200,13
17031170900,3
17031171000,20
17031190100,39
17031222200,40
17031222500,40
17031222600,14
17031251500,10
17031251600,2
17031251700,2
17031251800,10
17031252000,10
17031130300,31
17031530100,0
17031190200,39
17031190300,20
17031190800,2
17031260100,44
17031260200,44
17031061800,43
17031821500,0
17031410200,17
17031222900,2
17031241000,40
17031230300,44
17031190900,2
17031191200,20
17031200100,39
17031200200,2
17031200300,2
17031222700,2
17031230100,2
17031230200,2
17031230400,2
17031230500,2
17031351100,4
17031807600,24
17031081900,7
17031611700,21
17031300500,42
17031381500,4
17031420500,29
17031081500,7
17031081600,7
17031081700,7
17031081800,7
17031222800,2
17031050800,13
17031210100,14
17031210400,39
17031230700,2
17031230800,44
17031230900,44
17031820502,36
17031820901,28
17031550200,0
17031823200,32
17031823304,32
17031670500,21
17031820700,42
17031580800,5
17031820800,36
17031300800,1
17031191100,2
17031230600,2
17031242300,41
17031242200,41
17031032100,43
17031060900,43
17031061000,43
17031210700,14
17031291600,6
17031400400,29
17031120100,34
17031062000,43
17031611200,5
17031300900,1
17031061100,43
17031061500,13
17031062100,43
17031062200,13
17031090200,18
17031090100,18
17031826401,0
17031260400,10
17031351500,4
17031770800,3
17031081100,7
17031210800,14
17031210900,13
17031241200,41
17031031200,19
17031063000,43
17031062500,13
17031062600,13
17031062700,13
17031062800,13
17031062900,43
17031062400,13
17031090300,18
17031063100,33
17031063200,43
17031063400,33
17031242700,40
17031070400,43
17031100100,18
17031100300,18
17031140100,34
17031140200,34
17031140400,35
17031140500,35
17031070200,33
17031070300,43
17031070500,33
17031070700,13
17031070600,33
17031100400,11
17031100600,25
17031100700,25
17031110200,39
17031150200,39
17031150300,39
17031140800,34
17031231200,44
17031231100,44
17031242400,41
17031242500,40
17031671600,12
17031120200,34
17031120300,34
17031120400,39
17031231500,44
17031071100,33
17031071000,33
17031071200,33
17031071300,33
17031110300,25
17031220300,14
17031220400,14
17031220500,14
17031240300,40
17031240500,40
17031060400,19
17031060500,19
17031240800,40
17031240600,40
17031240700,40
17031240900,40
17031242600,40
17031310600,6
17031310700,6
17031310800,6
17031020602,31
17031310900,6
17031510100,16
17031510200,16
17031561100,36
17031190701,2
17031020901,31
17031010202,22
17031570100,42
17031570200,42
17031570300,8
17031570400,42
17031570500,8
17031690400,9
17031691300,9
17031691400,9
17031691500,15
17031320400,26
17031580100,5
17031580200,5
17031580300,5
17031580400,5
17031580600,5
17031580700,5
17031681300,9
17031681400,9
17031690300,9
17031690500,29
17031690900,9
17031691000,9
17031700100,12
17031700200,28
17031320600,26
17031330200,23
17031590500,5
17031590600,5
17031671200,12
17031671100,29
17031671300,12
17031671500,12
17031671800,9
17031671900,12
17031710100,9
17031710200,9
17031710400,12
17031710500,12
17031710600,12
17031710800,9
17031340300,23
17031430300,38
17031340500,4
17031340600,4
17031430200,38
17031510300,16
17031520100,15
17031590700,4
17031600400,23
17031813801,42
17031830600,22
17031830800,30
17031830700,19
17031830900,13
17031835200,8
17031839900,4
17031839700,5
17031839800,5
17031834800,29
17031834700,29
17031832000,43
17031832500,33
17031832300,33
17031838300,7
17031831800,34
17031831700,39
17031835100,21
17031835000,21
17031843700,13
17031220702,14
17031842100,44
17031843300,6
17031843000,1
17031836500,4
17031843900,38
17031490901,37
17031831100,14
17031831500,27
17031831600,27
17031831200,2
17031831000,40
17031843100,1
17031842900,6
17031843500,5
17031842000,4
17031770901,11
17031832400,40
17031832900,6
17031840300,6
17031838600,1
17031839600,4
17031834900,29
17031030603,19
17031832200,40
17031836700,44
17031836800,44
17031836600,44
17031833000,41
17031842500,29
17031841800,29
17031842800,42
17031843800,4
17031841000,23
17031834200,15
17031842200,33
17031838000,41
17031010702,22
17031010503,22
17031010502,22
17031010701,22
17031020902,30
17031020302,24
17031020601,24
17031020301,24
17031760803,11
17031530501,0
17031530503,0
17031650301,28
17031650302,28
17031530502,0
17031831300,2
17031831400,10
17031837000,44
17031842400,9
17031832100,43
17031020802,31
17031020702,31
17031020801,31
17031040202,31
17031040201,30
17031040402,30
17031031501,19
17031081201,7
17031063301,43
17031210601,14
17031030703,19
17031490902,37
17031301801,42
17031700301,12
17031301702,42
17031700401,12
17031837100,41
17031837800,41
17031837300,44
17031841500,1
17031838700,1
17031150501,25
17031150401,25
17031150502,25
17031110502,39
17031150402,25
17031140302,34
17031140301,34
17031700302,12
17031580501,5
17031580502,5
17031730201,9
17031301802,42
17031440101,15
17031301701,42
17031839100,7
17031833100,6
17031838100,41
17031833300,6
17031838200,41
17031140702,35
17031140602,35
17031140701,34
17031160502,35
17031160602,35
17031151002,39
17031151001,39
17031190402,20
17031431301,15
17031431302,38
17031460302,15
17031460301,15
17031700501,12
17031700502,12
17031841100,23
17031840200,23
17031841300,6
17031840700,6
17031841700,1
17031190602,20
17031190401,20
17031190702,2
17031191302,20
17031190601,20
17031191301,20
17031200402,2
17031200401,2
17031220902,14
17031210501,14
17031160601,34
17031061901,43
17031840800,5
17031081403,26
17031030702,19
17031440102,15
17031440202,15
17031830500,42
17031840100,23
17031840400,5
17031839200,4
17031835500,4
17031030604,19
17031031502,19
17031081402,26
17031080201,33
17031760802,3
17031140601,35
17031070102,43
17031210502,14
17031540102,0
17031700402,12
17031030800,19
17031031100,30
17031812100,10
17031821900,32
17031822000,32
17031031300,19
17031031900,30
17031822701,32
17031822702,32
17031822801,32
17031814200,42
17031823303,32
17031160501,35
17031040100,30
17031040300,30
17031825700,0
17031430700,38
17031611600,21
17031340400,23
17031808100,18
17031283200,41
17031100500,11
17031191000,2
17031560400,8
