step,cut_edges,min_pop,max_pop,pop_range
1,565,40557.0,91569.0,51012.0
2,569,40557.0,91569.0,51012.0
3,571,40557.0,91569.0,51012.0
4,575,40557.0,88539.0,47982.0
5,577,40557.0,91508.0,50951.0
6,579,40557.0,91508.0,50951.0
7,579,40557.0,92639.0,52082.0
8,580,40557.0,92639.0,52082.0
9,577,40557.0,92639.0,52082.0
10,577,40557.0,92639.0,52082.0
11,578,40557.0,92639.0,52082.0
12,579,40557.0,92639.0,52082.0
13,583,40557.0,92639.0,52082.0
14,585,40557.0,92639.0,52082.0
15,586,40954.0,92639.0,51685.0
16,588,40954.0,92639.0,51685.0
17,584,40954.0,92639.0,51685.0
18,585,40954.0,92639.0,51685.0
19,585,40954.0,92639.0,51685.0
20,585,40954.0,92639.0,51685.0
21,588,40954.0,92639.0,51685.0
22,591,40954.0,92639.0,51685.0
23,594,40954.0,92639.0,51685.0
24,603,40954.0,92639.0,51685.0
25,602,40954.0,92639.0,51685.0
26,602,40954.0,92639.0,51685.0
27,601,40954.0,92639.0,51685.0
28,603,40954.0,92639.0,51685.0
29,602,40954.0,92639.0,51685.0
30,601,40954.0,92639.0,51685.0
31,593,41092.0,92639.0,51547.0
32,590,41092.0,92639.0,51547.0
33,590,41092.0,92639.0,51547.0
34,588,41092.0,92639.0,51547.0
35,588,41092.0,92639.0,51547.0
36,588,41092.0,92639.0,51547.0
37,589,41092.0,92639.0,51547.0
38,587,41092.0,92639.0,51547.0
39,587,41092.0,92639.0,51547.0
40,593,41092.0,92639.0,51547.0
41,595,41092.0,92639.0,51547.0
42,592,43167.0,92639.0,49472.0
43,592,43167.0,92639.0,49472.0
44,588,43167.0,92639.0,49472.0
45,581,43167.0,92639.0,49472.0
46,580,43698.0,92639.0,48941.0
47,579,43698.0,91508.0,47810.0
48,576,43698.0,91508.0,47810.0
49,574,43698.0,89031.0,45333.0
50,577,43698.0,89031.0,45333.0
51,575,45891.0,89031.0,43140.0
52,578,45891.0,89031.0,43140.0
53,585,45891.0,90366.0,44475.0
